Number,Achievement,District,Students,Rating
'140905,86,Olton Isd,614,B
'140907,74,Springlake-Earth Isd,366,C
'140908,82,Sudan Isd,469,B
'141901,81,Lampasas Isd,3334,C
'142901,70,Cotulla Isd,1378,C
'143901,81,Hallettsville Isd,1119,B
'143902,83,Moulton Isd,280,B
'143903,92,Shiner Isd,649,A
'144901,80,Giddings Isd,1892,B
'144902,87,Lexington Isd,1019,B
'145901,81,Buffalo Isd,945,B
'145902,79,Centerville Isd,683,B
'145906,87,Normangee Isd,609,B
'145907,76,Oakwood Isd,200,B
'145911,81,Leon Isd,759,B
'146903,94,Devers Isd,175,A
'146904,74,Hardin Isd,1406,C
'147901,69,Coolidge Isd,309,C
'147902,75,Groesbeck Isd,1875,C
'147903,73,Mexia Isd,1796,C
'148901,89,Booker Isd,389,A
'149901,84,George West Isd,1092,B
'149902,72,Three Rivers Isd,677,D
'150901,81,Llano Isd,1788,C
'152901,73,Lubbock Isd,27813,C
'152902,80,New Deal Isd,752,C
'152903,81,Slaton Isd,1270,B
'152906,84,Lubbock-Cooper Isd,6313,B
'152907,89,Frenship Isd,9677,B
'152908,83,Roosevelt Isd,1088,B
'152909,91,Shallowater Isd,1645,A
'152910,85,Idalou Isd,1001,B
'153904,82,Tahoka Isd,620,B
'154901,81,Madisonville Cisd,2357,C
'155901,75,Jefferson Isd,1272,C
'156902,80,Stanton Isd,1009,C
'157901,94,Mason Isd,725,A
'158901,69,Bay City Isd,3562,C
'158902,80,Tidehaven Isd,935,C
'158906,79,Van Vleck Isd,1055,C
'159901,78,Eagle Pass Isd,14520,B
'160901,85,Brady Isd,1178,B
'161903,92,Midway Isd,8068,A
'161920,91,China Spring Isd,2748,A
'161907,91,Lorena Isd,1756,A
'161918,84,Axtell Isd,803,B
'161923,86,Bosqueville Isd,710,B
'161901,85,Crawford Isd,545,B
'161916,86,West Isd,1324,B
'161922,83,Robinson Isd,2349,B
'161912,84,Riesel Isd,645,B
'161909,80,Mcgregor Isd,1458,C
'161910,79,Moody Isd,694,C
'161914,66,Waco Isd,14775,C
'161919,79,Bruceville-Eddy Isd,689,C
'161921,66,Connally Isd,2337,C
'161906,65,La Vega Isd,3093,D
'161908,74,Mart Isd,519,D
'163901,82,Devine Isd,2007,B
'163903,67,Natalia Isd,1102,F
'163904,76,Hondo Isd,1997,C
'163908,89,Medina Valley Isd,5060,A
'164901,75,Menard Isd,313,C
'165901,72,Midland Isd,25663,C
'165902,81,Greenwood Isd,2679,C
'166901,74,Cameron Isd,1850,C
'166903,80,Milano Isd,453,B
'166904,76,Rockdale Isd,1528,C
'166905,80,Thorndale Isd,566,B
'167901,92,Goldthwaite Isd,572,A
'167902,77,Mullin Isd,333,B
'168901,87,Colorado Isd,977,B
'169901,81,Bowie Isd,1692,C
'169902,79,Nocona Isd,780,B
'169909,88,Prairie Valley Isd,151,B
'169911,78,Saint Jo Isd,282,B
'170902,89,Conroe Isd,61323,B
'170903,90,Montgomery Isd,8730,B
'170904,75,Willis Isd,7254,C
'170906,87,Magnolia Isd,12955,B
'170907,83,Splendora Isd,4012,B
'170908,77,New Caney Isd,15030,C
'171901,77,Dumas Isd,4307,B
'171902,85,Sunray Isd,552,B
'172902,75,Daingerfield-Lone Star Isd,1021,D
'172905,70,Pewitt Cisd,888,D
'174901,75,Chireno Isd,394,C
'174902,86,Cushing Isd,557,B
'174903,89,Garrison Isd,729,B
'174904,68,Nacogdoches Isd,6305,C
'174906,90,Woden Isd,747,A
'174908,84,Central Heights Isd,1133,B
'175902,77,Blooming Grove Isd,944,C
'175903,77,Corsicana Isd,5904,C
'175904,78,Dawson Isd,486,C
'175905,83,Frost Isd,412,B
'175910,87,Mildred Isd,739,B
'175911,82,Rice Isd,893,B
'176902,67,Newton Isd,1021,D
'177901,89,Roscoe Collegiate Isd,619,B
'177902,75,Sweetwater Isd,2152,C
'178901,75,Agua Dulce Isd,336,C
'178902,86,Bishop Cisd,1470,A
'178903,88,Calallen Isd,4051,B
'178904,71,Corpus Christi Isd,37910,C
'178906,92,London Isd,1043,A
'178908,87,Port Aransas Isd,435,A
'178909,66,Robstown Isd,2789,C
'178912,80,Tuloso-Midway Isd,3878,C
'178913,81,Banquete Isd,930,B
'178914,90,Flour Bluff Isd,5660,A
'178915,68,West Oso Isd,2102,C
'179901,79,Perryton Isd,2221,C
'180902,94,Vega Isd,369,A
'182902,71,Graford Isd,352,D
'182903,74,Mineral Wells Isd,3281,C
'182904,88,Santo Isd,455,B
'183901,91,Beckville Isd,663,A
'183902,79,Carthage Isd,2681,B
'184901,69,Poolville Isd,518,C
'184902,79,Springtown Isd,3576,C
'184903,80,Weatherford Isd,8083,C
'184904,81,Millsap Isd,993,B
'184907,93,Aledo Isd,5697,A
'184908,85,Peaster Isd,1167,B
'184909,93,Brock Isd,1370,A
'185901,73,Bovina Isd,490,B
'185902,81,Farwell Isd,539,B
'185903,77,Friona Isd,1110,B
'186902,75,Fort Stockton Isd,2471,C
'186903,88,Iraan-Sheffield Isd,504,B
'187903,73,Goodrich Isd,241,C
'187904,75,Corrigan-Camden Isd,890,B
'187906,77,Leggett Isd,179,B
'187907,77,Livingston Isd,4056,C
